Date,cash
2021-10-08,977345.4513242018
2021-10-11,977224.2829812051
2021-10-12,977182.5756325278
2021-10-13,976730.2552677814
2021-10-14,977209.2599781953
2021-10-15,977415.5150251908
2021-10-18,977309.1011800907
2021-10-19,977309.1011800907
2021-10-20,977309.1011800907
2021-10-21,977475.7344717657
2021-10-22,977598.9648052086
2021-10-25,977258.712540061
2021-10-26,977258.712540061
2021-10-27,976757.3736252916
2021-10-28,977061.845738489
2021-10-29,977061.845738489
2021-11-01,976849.9652858571
2021-11-02,976849.9652858571
2021-11-03,976311.8115212554
2021-11-04,976901.0402608163
2021-11-05,976858.8947562008
2021-11-08,977029.2254551962
2021-11-09,976987.0500089205
2021-11-10,977192.3639466596
2021-11-11,977192.3639466596
2021-11-12,977631.3092297481
2021-11-15,977191.5984969437
2021-11-16,977315.8248140229
2021-11-17,977049.8240008965
2021-11-18,976827.7851458439
2021-11-19,976434.5761233565
2021-11-22,976331.9774237374
2021-11-23,976331.9774237374
2021-11-24,976238.7297963627
2021-11-26,976939.3823335498
2021-11-29,976950.5731740826
2021-11-30,977510.8918863273
2021-12-01,977712.2278165839
2021-12-02,977845.6253614015
2021-12-03,977881.5835891258
2021-12-06,978485.7382517266
2021-12-07,979015.7701275912
2021-12-08,978574.0933586833
2021-12-09,978408.0972212091
2021-12-10,978408.0972212091
2021-12-13,978789.3551857623
2021-12-14,978789.3551857623
2021-12-15,979600.3888147366
2021-12-16,979329.6421778777
2021-12-17,979329.6421778777
2021-12-20,979329.6421778777
2021-12-21,979599.0240028454
2021-12-22,979853.6744006226
2021-12-23,979853.6744006226
2021-12-27,980303.5792013758
2021-12-28,979630.5424358501
2021-12-29,979630.5424358501
2021-12-30,979807.2342914393
2021-12-31,979978.0746432445
2022-01-03,978976.7292812578
2022-01-04,978976.7292812578
2022-01-05,979500.2632598309
2022-01-06,979225.3993667758
2022-01-07,979225.3993667758
2022-01-10,979225.3993667758
2022-01-11,979272.2101274725
2022-01-12,979374.5135534102
2022-01-13,979427.3371792594
2022-01-14,979647.7778792542
2022-01-18,979985.0132476145
2022-01-19,979730.5192164467
2022-01-20,980151.6627587157
2022-01-21,980612.1713855902
2022-01-24,980612.1713855902
2022-01-25,980439.4705604998
2022-01-26,980200.0294183085
2022-01-27,979912.1431635069
2022-01-28,980503.914388685
2022-01-31,980990.7924969094
2022-02-01,980990.7924969094
2022-02-02,980990.7924969094
2022-02-03,981820.8374219133
2022-02-04,981839.7160479014
2022-02-07,981669.4869532796
2022-02-08,981669.4869532796
2022-02-09,981981.6845974287
2022-02-10,982234.5714746967
2022-02-11,981992.4640143181
2022-02-14,981992.4640143181
2022-02-15,981876.3151742277
2022-02-16,982051.0527903236
2022-02-17,982051.0527903236
2022-02-18,981873.8087934979
2022-02-22,982278.757074765
2022-02-23,982583.6426639789
2022-02-24,983141.492383492
2022-02-25,983023.717237775
2022-02-28,983259.8709409655
2022-03-01,982573.2316698566
2022-03-02,982745.6417329713
2022-03-03,982334.3299577228
2022-03-04,982329.4958426566
2022-03-07,982209.5829479916
2022-03-08,981963.5999762367
2022-03-09,982067.796384929
2022-03-10,982138.211289561
2022-03-11,982534.2040816904
2022-03-14,982071.1806418342
2022-03-15,982023.2854128632
2022-03-16,982445.0288377659
2022-03-17,982445.0288377659
2022-03-18,982363.2934808005
2022-03-21,982054.640671627
2022-03-22,982054.640671627
2022-03-23,982167.7863400601
2022-03-24,982167.7863400601
2022-03-25,981971.9424012038
2022-03-28,981719.15939116
2022-03-29,981920.0332427083
2022-03-30,981920.0332427083
2022-03-31,981920.0332427083
2022-04-01,981920.0332427083
2022-04-04,981944.6057305759
2022-04-05,982055.3308531246
2022-04-06,982165.1597680412
2022-04-07,981984.6935156719
2022-04-08,981984.6935156719
2022-04-11,981984.6935156719
2022-04-12,981984.6935156719
2022-04-13,981984.6935156719
2022-04-14,982088.7487720709
2022-04-18,981985.0654935297
2022-04-19,981975.2469882419
2022-04-20,981897.2398872416
2022-04-21,981897.2398872416
2022-04-22,981793.6946828987
2022-04-25,981970.6207686533
2022-04-26,982186.6454836552
2022-04-27,982186.6454836552
2022-04-28,982629.3114711264
2022-04-29,982452.2776127707
2022-05-02,982310.9612330481
2022-05-03,982412.7939097675
2022-05-04,982639.1095696121
2022-05-05,982954.7487666188
2022-05-06,982652.994351708
2022-05-09,983009.3614997531
2022-05-10,982843.1335869672
2022-05-11,982660.1740693491
2022-05-12,982356.9447495593
2022-05-13,982862.164388175
2022-05-16,983032.4451191158
2022-05-17,982862.9965693505
2022-05-18,983064.0052257791
2022-05-19,983064.0052257791
2022-05-20,983166.3040143319
2022-05-23,983166.3040143319
2022-05-24,982793.3152844077
2022-05-25,982612.1214737326
2022-05-26,982903.7876769798
2022-05-27,983090.5925457586
2022-05-31,983019.9482733834
2022-06-01,983091.4164004169
2022-06-02,983169.8216126172
2022-06-03,983755.9163926434
2022-06-06,982992.749353906
2022-06-07,983367.7296217425
2022-06-08,983440.6446027895
2022-06-09,983440.6446027895
2022-06-10,983342.1248640817
2022-06-13,983416.5076565659
2022-06-14,983341.9124231177
2022-06-15,983608.411118553
2022-06-16,983511.6665857255
2022-06-17,983511.6665857255
2022-06-21,983697.1197598588
2022-06-22,983438.962440588
2022-06-23,983627.6253260885
2022-06-24,983623.982221016
2022-06-27,983623.982221016
2022-06-28,983815.7453179912
2022-06-29,983914.2136823409
2022-06-30,983745.6357367763
2022-07-01,983745.6357367763
2022-07-05,983445.7214824546
2022-07-06,983607.7480000586
2022-07-07,983607.7480000586
2022-07-08,983607.7480000586
2022-07-11,983446.2049902449
2022-07-12,983446.2049902449
2022-07-13,983446.2049902449
2022-07-14,983446.2049902449
2022-07-15,983446.2049902449
2022-07-18,983610.4022134602
2022-07-19,983610.4022134602
2022-07-20,983827.1630948033
2022-07-21,983667.057154546
2022-07-22,983769.7755405742
2022-07-25,983769.7755405742
2022-07-26,983449.4714660033
2022-07-27,983611.0283113406
2022-07-28,983774.5537790947
2022-07-29,983596.1702368624
2022-08-01,983309.7153784182
2022-08-02,983247.5441139777
2022-08-03,983247.5441139777
2022-08-04,983097.4515255237
2022-08-05,982852.8136747681
2022-08-08,982852.8136747681
2022-08-09,983019.8966484384
2022-08-10,982852.999886982
2022-08-11,982952.2939135856
2022-08-12,982784.3063926848
2022-08-15,982949.9004189649
2022-08-16,982949.9004189649
2022-08-17,982949.9004189649
2022-08-18,981952.2238361202
2022-08-19,982310.7566410489
2022-08-22,982212.8272888311
2022-08-23,982375.4833703776
2022-08-24,982375.4833703776
2022-08-25,982375.4833703776
2022-08-26,982661.6409559059
2022-08-29,982376.5387232332
2022-08-30,982278.3486142465
2022-08-31,982278.3486142465
2022-09-01,982373.6858936843
2022-09-02,982373.6858936843
2022-09-06,982467.187720069
2022-09-07,982467.187720069
2022-09-08,982467.187720069
2022-09-09,982467.187720069
2022-09-12,982076.3443052216
2022-09-13,982792.4238463056
2022-09-14,982792.4238463056
2022-09-15,982853.2444040608
2022-09-16,982280.5629627763
2022-09-19,982124.4937684617
2022-09-20,982279.4552422878
2022-09-21,982185.3520532211
2022-09-22,982276.9228132826
2022-09-23,982139.2872716698
2022-09-26,981960.7584899474
2022-09-27,981701.5677141473
2022-09-28,981219.9974518444
2022-09-29,981835.9398760262
2022-09-30,981835.9398760262
2022-10-03,981477.3855609724
2022-10-04,981862.526860187
2022-10-05,982022.2250067283
2022-10-06,982022.2250067283
2022-10-07,982279.9997917846
2022-10-10,982091.5758485431
2022-10-11,982091.5758485431
2022-10-12,982275.491268628
2022-10-13,982275.491268628
2022-10-14,982275.491268628
2022-10-17,982275.491268628
2022-10-18,982275.491268628
2022-10-19,982275.491268628
2022-10-20,982192.6454899673
2022-10-21,982346.687594283
2022-10-24,982346.687594283
2022-10-25,982080.0520542472
2022-10-26,981924.9635570247
2022-10-27,981647.0962348494
2022-10-28,982299.2045084242
2022-10-31,982451.0081902747
2022-11-01,982250.2155199716
2022-11-02,982562.5386531301
2022-11-03,982562.5386531301
2022-11-04,982663.6473755738
2022-11-07,982663.6473755738
2022-11-08,982181.6110454493
2022-11-09,982455.5671084141
2022-11-10,982568.5090184895
2022-11-11,982568.5090184895
2022-11-14,982568.5090184895
2022-11-15,982402.8931519395
2022-11-16,982491.5257309217
2022-11-17,982491.5257309217
2022-11-18,982491.5257309217
2022-11-21,982491.5257309217
2022-11-22,982491.5257309217
2022-11-23,982581.7753719094
2022-11-25,982360.6828114718
2022-11-28,982083.7982738082
2022-11-29,982083.7982738082
2022-11-30,982205.786077329
2022-12-01,982119.4211445468
2022-12-02,982119.4211445468
2022-12-05,982365.9188390457
